"offerID"|"name"
"antonline_724"|"Dell Latitude 5000 5491 14in LCD Notebook"
"antonline_725"|"Dell Latitude 5000 5491 14in LCD Notebook"
"antonline_730"|"MSI PS42 8RB-060 14in LCD Gaming Notebook"
"antonline_743"|"ASUS ZenBook 13 UX331UA-DS71 13.3 inch"
"antonline_751"|"Asus VivoBook X540YA-DB02 15.6in LCD Notebook"
"antonline_756"|"Dell Latitude 5000 5491 14in LCD Notebook"
"antonline_769"|"Asus VivoBook 15 X540UA-DB51 15.6in LCD Notebook"
"antonline_770"|"Asus VivoBook 15 X540UA-DB71 15.6in LCD Notebook"
"antonline_773"|"Lenovo IdeaPad 710S Plus Touch-13IKB 80YQ0002US 13.3in Touchscreen LCD Notebook"
"antonline_776"|"Lenovo IdeaPad Y700 Touch-15ISK 80NW0030US 15.6in Touchscreen LCD Gaming Notebook"
"antonline_779"|"Asus ASUSPRO P5440UF-XB74 14in LCD Ultrabook"
"antonline_791"|"Lenovo IdeaPad 330-15ICH 81FK0000US 15.6in LCD Notebook"
"antonline_801"|"Lenovo ThinkPad E480 20KN008GUS 14in LCD Notebook"
"antonline_802"|"Lenovo IdeaPad 330 Touch-15IKB 81DJ0003US 15.6in Touchscreen LCD Notebook"
"antonline_827"|"ASUSPRO Laptop - 15.6??? FHD Matte Display"
"antonline_83"|"HP EliteBook 850 G5 15.6in LCD Notebook"
"antonline_833"|"Lenovo IdeaPad Flex 6-14IKB 81EM000AUS 14in Touchscreen LCD 2 in 1 Notebook"
"antonline_835"|"Lenovo IdeaPad 530S-14IKB 81EU000HUS 14in LCD Notebook"
"antonline_845"|"ASUS ROG Strix Scar Edition GL703GS-DS74 17.3in Gaming Laptop"
"antonline_849"|"ASUS ROG Strix Hero Edition 15.6in Gaming Laptop"
"antonline_861"|"Lenovo IdeaPad Flex 6-14IKB 81EM0008US 14in Touchscreen LCD 2 in 1 Notebook"
"antonline_869"|"Lenovo Legion Y520-15IKBM 80YY0090US 15.6in LCD Notebook"
"antonline_873"|"Lenovo IdeaPad Flex 5-1570 81CA000UUS 15.6in Touchscreen LCD 2 in 1 Notebook"
"antonline_876"|"Lenovo ThinkPad E580 20KS003QUS 15.6in LCD Notebook"
"antonline_887"|"Lenovo ThinkPad P52s 20LB0019US 15.6in LCD Mobile Workstation Ultrabook"
"antonline_892"|"Lenovo ThinkPad X1 Yoga 3rd Gen 20LD001HUS 14in LCD 2 in 1 Ultrabook"
"antonline_896"|"Dell Latitude 3000 3490 14in LCD Notebook"
"antonline_905"|"Dell Latitude 5490 14in Intel Core i7 8 GB DDR4 SDRAM LCD Notebook"
"antonline_912"|"Lenovo ThinkPad E580 20KS003LUS 15.6in LCD Notebook"
"antonline_921"|"ASUS E402WA-WH21 Lightweight and Portable Laptop PC"
"antonline_926"|"Dell Inspiron 15 7000 15.6in Intel Core i7 (7th Gen) IPS LCD Gaming Notebook 16GB RAM 1 TB HDD 128GB SSD"
"antonline_927"|"Dell Inspiron 15 5000 5570 15.6in LCD Notebook"
"antonline_947"|"Samsung Chromebook Pro XE510C24-K01US 12.3in Touchscreen LCD 2 in 1 Chromebook"
"antonline_949"|"Lenovo ThinkPad P51 20HH000GUS 15.6in LCD Mobile Workstation"
"antonline_981"|"MSI GT83 Titan-014 VR Ready 18.4in LCD Gaming Notebook"
"antonline_986"|"Lenovo ThinkPad T580 20L9001FUS 15.6in Touchscreen LCD Notebook"
"bestbuy_128"|"Acer - TravelMate 15.6in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black"
"bestbuy_138"|"Alienware - 17.3in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 OC Edition - 1TB + 8GB Hybrid Hard Drive - Epic Silver"
